"","record_id","outdesc","out","outprimary","outtype","outanalysis___1","outanalysis___2","outanalysis___3","outanalysis___4","outanalysisdesc","outhowgconfound___1","outhowgconfound___2","outhowgconfound___3","outhowgconfound___4","outhowgconfound___5","outhowgconfound___6","outhowgconfound___7","outhowgconfound___8","outhowconfounddesc","outconfdomains___1","outconfdomains___2","outconfdomains___3","outconfdomains___4","outconfdomains___5","outconfdomains___6","outconfdomains___7","outconfdomains___8","outconfdomains___9","outconfdomains___10","outconfdomains___11","outconfdomains___12","outconfdomains___13","outconfdomains___14","outconfdomains___15","outconfdomains___16","outconfdomains___17","outmingenetics","outmincoinfect","outminatopic","outminneonatal","outminchildsex","outminantibiotic","outminses","outminsibling","outminsmoking","outminnutrition","outminallergens","outminpollution","outminageexp","outminageout","expdesc","expmeth___1","expmeth___2","expmeth___3","expmeth___4","expmeth___5","exptype","exptime___1","exptime___2","exptime___3","exptimedesc","compdesc","type","time2needed","time3needed","expdesc.1","time","estype","esdesc","esmethod","es","es.se.report","es.se","n","expevent","expnonevent","compevent","compnonevent","outage","id","compid","outid","studyid","coder","articlename","studytypeout___1","studytypeout___2","studytypeout___3","studytypeout___4","studytypeout___5","studytypeout___6","studytypeout___7","studytypeout___8","studytypeout___9","studytypeout___10","studytypeout___11","studytypeout___12","studytypeout___13","asthmaage5","year","country","countincome___1","countincome___2","countincome___3","countincome___4","countincome___5","nenrolled","perfemale","inclcriteria","exccriteria","participantrisk","participantrisktype","studydesign1","expdesign","obsdesign","cohortdesign","non_rsv___1","non_rsv___2","non_rsv_1","diag_method","atopic_sens","atopic_sens_1","comparator","age"
"136",6,"RECURRENT WHEEZE: The primary outcome was time to recurrent wheezing ever. It was defined as the earliest date during the 7-yr follow-up period when a child fulfilled one or more of the following  criteria: three physician-confirmed episodes of wheezing within the past 12 months; continuous lower respiratory symptoms (cough, wheezing) lasting >4 wk and relieved by recurrent use of bronchodilators; or moderate-to-severe wheezing episodes necessitating systemic corticosteroid use within 6 months",2,1,1,0,0,1,0,"Cox hazard ratio (HR) indicated the risk of recurrent wheezing. Interactions between treatment grouping (prednisolone vs. placebo) and pre-specified risk factors (eczema status and HRV, RSV or HRV-/RSV-negative aetiology) were studied with Cox regression. Multivariable model was repeated with significant interactions. Each study subject was censored from the analysis after the initiation of the daily controller therapy with inhaled corticosteroid treatment.  -RSV was not found to be significantly associated with risk of recurrent wheezing in the univariate model.  Therefore, it wasn't included in the multivariate model (no adjusted HR is listed so I coded it as not adjusting for confounders).",0,1,0,0,0,0,0,0,"I am just reporting on the univariate results for the association between RSV and recurrent wheezing.  As it wasn't significant, the authors didn't include it in the multivariate model.  The authors showed that there were no differences between the two groups with respect to the following characteristics: sex, blood eosinophil count, parental asthma, parental smoking, and day care.  The authors found significant differences between the children with and without recurrent wheezing for the following variables (which were included in the multivariate model): viral etiology (HRV), allergen sensitization, age <1 year, and eczema at study entry.",1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,2,2,NA,2,NA,NA,NA,1,NA,NA,NA,2,NA," -[Steve: RSV(+) LRTI]  - Children included in the RSV group could have either an RSV monoinfection or co-infection excluding HRV",1,0,0,0,0,2,0,0,1,"Birth to 3 years"," - [Steve: HRV(+) LRTI]",2,2,1,NA,1,4,"[Steve: based on multivariable Cox regression; ""In the final model of backward stepwise multivariable analysis, the risk factors for recurrent wheezing were HRV (HR 3.54, 95% CI 1.51-8.30)."" I took the inverse so that HRV was the comaparator]  - [Steve: doesn't say explicitly the RSV was the comparison group, but based on Table 1, all kids were classified into HRV or RSV groups and this was the comparison used in this study in a previous paper (Lehtinen 2007)]",2,0.28,1,0.43,78,12,32,39,28,"~ wheezing between ages 1-7",6,1,1,23,2,"Lukkarinen 2013",0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"2013","Finland",0,0,0,1,0,"111","","The present study is a follow up from a randomized double-blind placebo-controlled paralleled trial investigating the efficacy of oral prednisolone in wheezing children overall and seeking characteristics whic could explain a beneficial response to the drug.  Long-term follow-up visit was arranged at 12 months.    From fig. 1- original randomized trial required that children be aged 3 months to 16 years and hospitalized for acute wheezing.  Study criteria for long-term follow up included aged <3 years with their first episode of wheezing","greater than 3 years old or with previous wheezing ",2,"",2,NA,2,1,1,1,"adenovirus, coronavirus OC43+229, enterovirus, HPMV, influenza A+B, parainfluenza 1+2+3, rhinovirus","""comprehensive viral diagnostics including culture, antigen detection, PCR and/or serology""",1,"""positive IgE antibodies against at least 1 of the listed allergens""","rhinovirus group included RSV coinfection; cohort divided into groups as ""rhinovirus group (rhinovirus diagnosed alone or together with any other viruses), RSV group (RSV diagnosed alone or together with any other viruses except rhinovirus), and RSV/rhinovirus negative group (any other viruses except RSV or rhinovirus diagnosed or no viruses found)""","3-35 months"
"146",6,"RECURRENT WHEEZE: The primary outcome was time to recurrent wheezing ever. It was defined as the earliest date during the 7-yr follow-up period when a child fulfilled one or more of the following  criteria: three physician-confirmed episodes of wheezing within the past 12 months; continuous lower respiratory symptoms (cough, wheezing) lasting >4 wk and relieved by recurrent use of bronchodilators; or moderate-to-severe wheezing episodes necessitating systemic corticosteroid use within 6 months",2,1,1,0,0,1,0,"Cox hazard ratio (HR) indicated the risk of recurrent wheezing. Interactions between treatment grouping (prednisolone vs. placebo) and pre-specified risk factors (eczema status and HRV, RSV or HRV-/RSV-negative aetiology) were studied with Cox regression. Multivariable model was repeated with significant interactions. Each study subject was censored from the analysis after the initiation of the daily controller therapy with inhaled corticosteroid treatment.  -RSV was not found to be significantly associated with risk of recurrent wheezing in the univariate model.  Therefore, it wasn't included in the multivariate model (no adjusted HR is listed so I coded it as not adjusting for confounders).",0,1,0,0,0,0,0,0,"I am just reporting on the univariate results for the association between RSV and recurrent wheezing.  As it wasn't significant, the authors didn't include it in the multivariate model.  The authors showed that there were no differences between the two groups with respect to the following characteristics: sex, blood eosinophil count, parental asthma, parental smoking, and day care.  The authors found significant differences between the children with and without recurrent wheezing for the following variables (which were included in the multivariate model): viral etiology (HRV), allergen sensitization, age <1 year, and eczema at study entry.",1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,2,2,NA,2,NA,NA,NA,1,NA,NA,NA,2,NA," -[Steve: RSV(+) LRTI]  - Children included in the RSV group could have either an RSV monoinfection or co-infection excluding HRV",1,0,0,0,0,2,0,0,1,"Birth to 3 years"," - [Steve: HRV(+) LRTI]",2,2,1,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",6,1,1,23,2,"Lukkarinen 2013",0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"2013","Finland",0,0,0,1,0,"111","","The present study is a follow up from a randomized double-blind placebo-controlled paralleled trial investigating the efficacy of oral prednisolone in wheezing children overall and seeking characteristics whic could explain a beneficial response to the drug.  Long-term follow-up visit was arranged at 12 months.    From fig. 1- original randomized trial required that children be aged 3 months to 16 years and hospitalized for acute wheezing.  Study criteria for long-term follow up included aged <3 years with their first episode of wheezing","greater than 3 years old or with previous wheezing ",2,"",2,NA,2,1,1,1,"adenovirus, coronavirus OC43+229, enterovirus, HPMV, influenza A+B, parainfluenza 1+2+3, rhinovirus","""comprehensive viral diagnostics including culture, antigen detection, PCR and/or serology""",1,"""positive IgE antibodies against at least 1 of the listed allergens""","rhinovirus group included RSV coinfection; cohort divided into groups as ""rhinovirus group (rhinovirus diagnosed alone or together with any other viruses), RSV group (RSV diagnosed alone or together with any other viruses except rhinovirus), and RSV/rhinovirus negative group (any other viruses except RSV or rhinovirus diagnosed or no viruses found)""","3-35 months"
"147",6,"RECURRENT WHEEZE: The primary outcome was time to recurrent wheezing ever. It was defined as the earliest date during the 7-yr follow-up period when a child fulfilled one or more of the following  criteria: three physician-confirmed episodes of wheezing within the past 12 months; continuous lower respiratory symptoms (cough, wheezing) lasting >4 wk and relieved by recurrent use of bronchodilators; or moderate-to-severe wheezing episodes necessitating systemic corticosteroid use within 6 months",2,1,1,0,0,1,0,"Cox hazard ratio (HR) indicated the risk of recurrent wheezing. Interactions between treatment grouping (prednisolone vs. placebo) and pre-specified risk factors (eczema status and HRV, RSV or HRV-/RSV-negative aetiology) were studied with Cox regression. Multivariable model was repeated with significant interactions. Each study subject was censored from the analysis after the initiation of the daily controller therapy with inhaled corticosteroid treatment.  -RSV was not found to be significantly associated with risk of recurrent wheezing in the univariate model.  Therefore, it wasn't included in the multivariate model (no adjusted HR is listed so I coded it as not adjusting for confounders).",0,1,0,0,0,0,0,0,"I am just reporting on the univariate results for the association between RSV and recurrent wheezing.  As it wasn't significant, the authors didn't include it in the multivariate model.  The authors showed that there were no differences between the two groups with respect to the following characteristics: sex, blood eosinophil count, parental asthma, parental smoking, and day care.  The authors found significant differences between the children with and without recurrent wheezing for the following variables (which were included in the multivariate model): viral etiology (HRV), allergen sensitization, age <1 year, and eczema at study entry.",1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,2,2,NA,2,NA,NA,NA,1,NA,NA,NA,2,NA," -[Steve: RSV(+) LRTI]  - Children included in the RSV group could have either an RSV monoinfection or co-infection excluding HRV",1,0,0,0,0,2,0,0,1,"Birth to 3 years"," - [Steve: HRV(+) LRTI]",2,2,1,NA,3,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",6,1,1,23,2,"Lukkarinen 2013",0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"2013","Finland",0,0,0,1,0,"111","","The present study is a follow up from a randomized double-blind placebo-controlled paralleled trial investigating the efficacy of oral prednisolone in wheezing children overall and seeking characteristics whic could explain a beneficial response to the drug.  Long-term follow-up visit was arranged at 12 months.    From fig. 1- original randomized trial required that children be aged 3 months to 16 years and hospitalized for acute wheezing.  Study criteria for long-term follow up included aged <3 years with their first episode of wheezing","greater than 3 years old or with previous wheezing ",2,"",2,NA,2,1,1,1,"adenovirus, coronavirus OC43+229, enterovirus, HPMV, influenza A+B, parainfluenza 1+2+3, rhinovirus","""comprehensive viral diagnostics including culture, antigen detection, PCR and/or serology""",1,"""positive IgE antibodies against at least 1 of the listed allergens""","rhinovirus group included RSV coinfection; cohort divided into groups as ""rhinovirus group (rhinovirus diagnosed alone or together with any other viruses), RSV group (RSV diagnosed alone or together with any other viruses except rhinovirus), and RSV/rhinovirus negative group (any other viruses except RSV or rhinovirus diagnosed or no viruses found)""","3-35 months"
"2971",111,"Previous asthma and current wheezing or prolonged cough",1,2,1,0,1,0,0,"multivariable logistic",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV(+) bronchiolitis requiring hospitalization in the first two years of life",1,0,0,0,0,2,0,1,0,"","RSV(-) bronchiolitis requiring hospitalization in the first two years of life",2,2,1,NA,3,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",111,1,2,2,5,"Piippo-Savolainen 2007",0,0,0,0,1,0,0,0,0,0,0,0,0,NA,"2007","Finland",0,0,0,1,0,"44","","""During 12 months in 1981 - 1982, a total of 83 children were hospitalized due to bronchiolitis before the age of 2 years in the Department of Pediatrics, Kuopio University Hospital, Kuopio, Finland.    ""10 cases negative for RSV which occurred  during the epidemic (and were, with high probability, either exposed to RSV near hospitalization or even false - negative RSV infections) were excluded from the analyses.""    ","respiratory sample RSV- but collected during RSV epidemic",2,"",2,NA,2,1,0,1,"adenovirus, influenza A+B, parainfluenza 1+2+3","antigen immunoassay, paired serum antibody CF; PCR on frozen samples was performed in the interim but not mentioned in this report",1,"""atopic dermatitis and/or serum total  IgE >60 IU/l""","non-RSV virus detected with no RSV; RSV negative cases ""during the epidemic"" were excluded out of concern for FN","<2 years"
"2974",111,"Current physician-diagnosed asthma",1,1,1,0,1,0,0,"multivariable logistic",0,1,0,0,0,0,0,0,"adjusted for gender, age on admission and current smoking and current atopy",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,"RSV(+) bronchiolitis requiring hospitalization in the first two years of life",1,0,0,0,0,2,0,1,0,"","RSV(-) bronchiolitis requiring hospitalization in the first two years of life",2,2,1,NA,1,1,"adjusted OR based on Table 3 and inverted so that RSV(-) is the reference group",1,0.12,1,1,44,4,18,9,13,"ages 17-20, median = 19 years old",111,1,1,2,5,"Piippo-Savolainen 2007",0,0,0,0,1,0,0,0,0,0,0,0,0,NA,"2007","Finland",0,0,0,1,0,"44","","""During 12 months in 1981 - 1982, a total of 83 children were hospitalized due to bronchiolitis before the age of 2 years in the Department of Pediatrics, Kuopio University Hospital, Kuopio, Finland.    ""10 cases negative for RSV which occurred  during the epidemic (and were, with high probability, either exposed to RSV near hospitalization or even false - negative RSV infections) were excluded from the analyses.""    ","respiratory sample RSV- but collected during RSV epidemic",2,"",2,NA,2,1,0,1,"adenovirus, influenza A+B, parainfluenza 1+2+3","antigen immunoassay, paired serum antibody CF; PCR on frozen samples was performed in the interim but not mentioned in this report",1,"""atopic dermatitis and/or serum total  IgE >60 IU/l""","non-RSV virus detected with no RSV; RSV negative cases ""during the epidemic"" were excluded out of concern for FN","<2 years"
"2978",111,"Previous asthma and current wheezing or prolonged cough",1,2,1,0,1,0,0,"multivariable logistic",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV(+) bronchiolitis requiring hospitalization in the first two years of life",1,0,0,0,0,2,0,1,0,"","RSV(-) bronchiolitis requiring hospitalization in the first two years of life",2,2,1,NA,1,1,"adjusted OR (inverted) based on Table 3",1,0.13,1,0.99,44,6,16,11,11,"ages 17-20, median = 19 years old",111,1,2,2,5,"Piippo-Savolainen 2007",0,0,0,0,1,0,0,0,0,0,0,0,0,NA,"2007","Finland",0,0,0,1,0,"44","","""During 12 months in 1981 - 1982, a total of 83 children were hospitalized due to bronchiolitis before the age of 2 years in the Department of Pediatrics, Kuopio University Hospital, Kuopio, Finland.    ""10 cases negative for RSV which occurred  during the epidemic (and were, with high probability, either exposed to RSV near hospitalization or even false - negative RSV infections) were excluded from the analyses.""    ","respiratory sample RSV- but collected during RSV epidemic",2,"",2,NA,2,1,0,1,"adenovirus, influenza A+B, parainfluenza 1+2+3","antigen immunoassay, paired serum antibody CF; PCR on frozen samples was performed in the interim but not mentioned in this report",1,"""atopic dermatitis and/or serum total  IgE >60 IU/l""","non-RSV virus detected with no RSV; RSV negative cases ""during the epidemic"" were excluded out of concern for FN","<2 years"
"2983",111,"Current physician-diagnosed asthma",1,1,1,0,1,0,0,"multivariable logistic",0,1,0,0,0,0,0,0,"adjusted for gender, age on admission and current smoking and current atopy",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,"RSV(+) bronchiolitis requiring hospitalization in the first two years of life",1,0,0,0,0,2,0,1,0,"","RSV(-) bronchiolitis requiring hospitalization in the first two years of life",2,2,1,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",111,1,1,2,5,"Piippo-Savolainen 2007",0,0,0,0,1,0,0,0,0,0,0,0,0,NA,"2007","Finland",0,0,0,1,0,"44","","""During 12 months in 1981 - 1982, a total of 83 children were hospitalized due to bronchiolitis before the age of 2 years in the Department of Pediatrics, Kuopio University Hospital, Kuopio, Finland.    ""10 cases negative for RSV which occurred  during the epidemic (and were, with high probability, either exposed to RSV near hospitalization or even false - negative RSV infections) were excluded from the analyses.""    ","respiratory sample RSV- but collected during RSV epidemic",2,"",2,NA,2,1,0,1,"adenovirus, influenza A+B, parainfluenza 1+2+3","antigen immunoassay, paired serum antibody CF; PCR on frozen samples was performed in the interim but not mentioned in this report",1,"""atopic dermatitis and/or serum total  IgE >60 IU/l""","non-RSV virus detected with no RSV; RSV negative cases ""during the epidemic"" were excluded out of concern for FN","<2 years"
"2986",111,"Previous asthma and current wheezing or prolonged cough",1,2,1,0,1,0,0,"multivariable logistic",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV(+) bronchiolitis requiring hospitalization in the first two years of life",1,0,0,0,0,2,0,1,0,"","RSV(-) bronchiolitis requiring hospitalization in the first two years of life",2,2,1,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",111,1,2,2,5,"Piippo-Savolainen 2007",0,0,0,0,1,0,0,0,0,0,0,0,0,NA,"2007","Finland",0,0,0,1,0,"44","","""During 12 months in 1981 - 1982, a total of 83 children were hospitalized due to bronchiolitis before the age of 2 years in the Department of Pediatrics, Kuopio University Hospital, Kuopio, Finland.    ""10 cases negative for RSV which occurred  during the epidemic (and were, with high probability, either exposed to RSV near hospitalization or even false - negative RSV infections) were excluded from the analyses.""    ","respiratory sample RSV- but collected during RSV epidemic",2,"",2,NA,2,1,0,1,"adenovirus, influenza A+B, parainfluenza 1+2+3","antigen immunoassay, paired serum antibody CF; PCR on frozen samples was performed in the interim but not mentioned in this report",1,"""atopic dermatitis and/or serum total  IgE >60 IU/l""","non-RSV virus detected with no RSV; RSV negative cases ""during the epidemic"" were excluded out of concern for FN","<2 years"
"2993",111,"Current physician-diagnosed asthma",1,1,1,0,1,0,0,"multivariable logistic",0,1,0,0,0,0,0,0,"adjusted for gender, age on admission and current smoking and current atopy",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,"RSV(+) bronchiolitis requiring hospitalization in the first two years of life",1,0,0,0,0,2,0,1,0,"","RSV(-) bronchiolitis requiring hospitalization in the first two years of life",2,2,1,NA,3,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",111,1,1,2,5,"Piippo-Savolainen 2007",0,0,0,0,1,0,0,0,0,0,0,0,0,NA,"2007","Finland",0,0,0,1,0,"44","","""During 12 months in 1981 - 1982, a total of 83 children were hospitalized due to bronchiolitis before the age of 2 years in the Department of Pediatrics, Kuopio University Hospital, Kuopio, Finland.    ""10 cases negative for RSV which occurred  during the epidemic (and were, with high probability, either exposed to RSV near hospitalization or even false - negative RSV infections) were excluded from the analyses.""    ","respiratory sample RSV- but collected during RSV epidemic",2,"",2,NA,2,1,0,1,"adenovirus, influenza A+B, parainfluenza 1+2+3","antigen immunoassay, paired serum antibody CF; PCR on frozen samples was performed in the interim but not mentioned in this report",1,"""atopic dermatitis and/or serum total  IgE >60 IU/l""","non-RSV virus detected with no RSV; RSV negative cases ""during the epidemic"" were excluded out of concern for FN","<2 years"
"3052",114,"To address the potential heterogeneity  of recurrent wheeze, we also fit the models with stratifying the recurrent wheeze outcome (by age 3 years) by asthma status at age 4 years. Asthma was defined using a commonly used epidemiologic definition: physician-diagnosis  of asthma, with either asthma medication use (eg, albuterol inhaler or inhaled corticosteroids) or asthma-associated symptoms (eg, wheezing or nocturnal cough) in the preceding year.",3,2,1,0,0,1,0,"To examine the association of viruses with the risk of outcome, we modeled the time to event (ie, the development of recurrent wheeze) by fitting Cox proportional hazards models. Patients who did not have an outcome were censored at their last follow-up interview or at the time of withdrawal during the 36-month follow-up period.",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Table 3: Recurrent wheeze without subsequent development of asthma, RSV-only",1,0,0,0,0,2,1,0,0,"","Table 3: Recurrent wheeze without subsequent development of asthma, RV A",2,2,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,1,3,NA,2,"Hasegawa 2019",0,0,0,0,0,1,1,0,0,0,0,0,0,NA,"2019","United States",0,0,0,1,0,"716","40%","Using a standardized protocol, the investigators at 17 sites across 14 US states enrolled  infants hospitalized with an attending physician diagnosis of bronchiolitis during 3 consecutive bronchiolitis seasons from November 1, 2011, to April 30, 2014. Bronchiolitis was defined by the American Academy of Pediatrics guidelines as  acute respiratory illness with some combination of rhinitis, cough, tachypnea, wheezing, crackles, and retractions.","We excluded infants who were transferred to a participating hospital more than 24 hours after the original hospitalization or those with known heart-lung disease, immunodeficiency, immunosuppression, or a gestational age younger than 32 weeks.",2,"",2,NA,2,1,1,0,"","Nasopharyngeal samples were first tested for 17 respiratory viruses (including RSV and rhinovirus) by using real-time polymerase chain reaction (PCR) assays. Specifically, complementary DNA was generated using gene-specific primers for rhinovirus and singleplex realtime PCR was used. The details of the rhinovirus primers and probes have been described elsewhere. Next, to identify the rhinovirus species (A, B, and C), rhinovirus-positive samples were genotyped by using molecular typing assay using partial sequencing.",1,"Serum-specific IgE (sIgE) was measured at enrollment using 2 different assays (ImmunoCAP sIgE and ImmunoCAP ISAC; ThermoFisher Scientific) at the Phadia Immunology Reference Laboratory as previously described.41 The sIgE allergen assays conducted were milk, egg white, peanut, cashew nut, and walnut; a positive test result was defined as 0.35 kU/L. The ImmunoCAP ISAC microarray immunoassay measures IgE antibodies to 112 components from 51 allergen sources, including foods and aeroallergens. A positive result was defined as 0.30 ISU-E or more (I; ISU-E provides an indication of IgE levels and is standardized to ImmunoCAP sIgE units. IgE sensitization was defined by having 1 or more positive values for serum allergen-specific IgE at the index hospitalization).","Performed a sensitivity analysis removing infants with co-infections.","recurrent wheeze by age 3 (ages 0-3)"
