"","record_id","outdesc","out","outprimary","outtype","outanalysis___1","outanalysis___2","outanalysis___3","outanalysis___4","outanalysisdesc","outhowgconfound___1","outhowgconfound___2","outhowgconfound___3","outhowgconfound___4","outhowgconfound___5","outhowgconfound___6","outhowgconfound___7","outhowgconfound___8","outhowconfounddesc","outconfdomains___1","outconfdomains___2","outconfdomains___3","outconfdomains___4","outconfdomains___5","outconfdomains___6","outconfdomains___7","outconfdomains___8","outconfdomains___9","outconfdomains___10","outconfdomains___11","outconfdomains___12","outconfdomains___13","outconfdomains___14","outconfdomains___15","outconfdomains___16","outconfdomains___17","outmingenetics","outmincoinfect","outminatopic","outminneonatal","outminchildsex","outminantibiotic","outminses","outminsibling","outminsmoking","outminnutrition","outminallergens","outminpollution","outminageexp","outminageout","expdesc","expmeth___1","expmeth___2","expmeth___3","expmeth___4","expmeth___5","exptype","exptime___1","exptime___2","exptime___3","exptimedesc","compdesc","type","time2needed","time3needed","expdesc.1","time","estype","esdesc","esmethod","es","es.se.report","es.se","n","expevent","expnonevent","compevent","compnonevent","outage","id","comparison"
"10",2,"Authors just state: ""All patients who presented with LRI and wheezing were followed up for two years in order to determine recurrent episodes of wheezing""",2,1,1,1,0,0,0,"Authors only state: ""Descriptive statistics were used in the analysis with SPSS software.""",0,0,0,0,0,0,0,1,"No attempt to reduce confounding was made",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV/LRTI positive",1,0,0,0,0,1,0,0,1,"Birth to five years","RSV/LRTI negative",2,2,1,NA,1,10,"can't calculate an effect size because some cells of the 2x2 table could not be filled in",2,NA,2,NA,121,11,26,NA,NA,"wheezing in past two years (ages 0-7-->had to be <5 years of age at start of study)",2,1
"13",2,"Authors just state: ""All patients who presented with LRI and wheezing were followed up for two years in order to determine recurrent episodes of wheezing""",2,1,1,1,0,0,0,"Authors only state: ""Descriptive statistics were used in the analysis with SPSS software.""",0,0,0,0,0,0,0,1,"No attempt to reduce confounding was made",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV/LRTI positive",1,0,0,0,0,1,0,0,1,"Birth to five years","RSV/LRTI negative",2,2,1,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,1
"14",2,"Authors just state: ""All patients who presented with LRI and wheezing were followed up for two years in order to determine recurrent episodes of wheezing""",2,1,1,1,0,0,0,"Authors only state: ""Descriptive statistics were used in the analysis with SPSS software.""",0,0,0,0,0,0,0,1,"No attempt to reduce confounding was made",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV/LRTI positive",1,0,0,0,0,1,0,0,1,"Birth to five years","RSV/LRTI negative",2,2,1,NA,3,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,1
"1147",3,"Asthma:  Parents completed a respiratory health-related questionnaire when their infant was 2 years of age regarding whether their infant had been diagnosed by a doctor as having asthma.  - The primary outcome of this study was healthcare utilization and health-related cost of care in the first 2 years after birth in infants who developed an RSV LRTI, another viral LRTI or no LRTI in infancy.  The authors also assessed wheezing and asthma in the second year of life.    ",1,2,1,1,0,0,0,"Baseline factors were compared across the three groups using the Kruskal-Wallis test with post hoc tests adjusted for multiple comparisons.",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Infants who had at least one RSV LRTI in the first year after birth.  In the second year, they could have had no LRTI, an RSV or another viral LRTI ('RSV Group').",1,0,0,0,0,0,1,0,0,"","The second group I coded for was infants who had at least one LRTI with viruses other than RSV detected from the NPA in the first year and no RSV LRTI in the second year (other viral group)`  - Two comparator groups:  1) Infants who did not have a symptomatic LRTI in the first 2 years  2) Infants who had at least one LRTI with viruses other than RSV detected from nasopharyngeal aspirate in the first year and no RSV LRTI in the second year  ",2,2,1,NA,1,1,"Groups were compared using the Kruskal-Wallis test, which just provides an overall p-value (i.e., is there a difference between any of the three groups for the outcome?)  -I hand calculated the OR based on stats given in Table 4    OR 9.35 (95% CI 0.41-211.63)",2,9.35,1,1.59,34,2,11,0,21,"ever asthma diagnosis by age 2 (ages 0-2)",3,2
"1148",3,"Asthma:  Parents completed a respiratory health-related questionnaire when their infant was 2 years of age regarding whether their infant had been diagnosed by a doctor as having asthma.  - The primary outcome of this study was healthcare utilization and health-related cost of care in the first 2 years after birth in infants who developed an RSV LRTI, another viral LRTI or no LRTI in infancy.  The authors also assessed wheezing and asthma in the second year of life.    ",1,2,1,1,0,0,0,"Baseline factors were compared across the three groups using the Kruskal-Wallis test with post hoc tests adjusted for multiple comparisons.",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Infants who had at least one RSV LRTI in the first year after birth.  In the second year, they could have had no LRTI, an RSV or another viral LRTI ('RSV Group').",1,0,0,0,0,0,1,0,0,"","The second group I coded for was infants who had at least one LRTI with viruses other than RSV detected from the NPA in the first year and no RSV LRTI in the second year (other viral group)`  - Two comparator groups:  1) Infants who did not have a symptomatic LRTI in the first 2 years  2) Infants who had at least one LRTI with viruses other than RSV detected from nasopharyngeal aspirate in the first year and no RSV LRTI in the second year  ",2,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2
"1149",3,"Asthma:  Parents completed a respiratory health-related questionnaire when their infant was 2 years of age regarding whether their infant had been diagnosed by a doctor as having asthma.  - The primary outcome of this study was healthcare utilization and health-related cost of care in the first 2 years after birth in infants who developed an RSV LRTI, another viral LRTI or no LRTI in infancy.  The authors also assessed wheezing and asthma in the second year of life.    ",1,2,1,1,0,0,0,"Baseline factors were compared across the three groups using the Kruskal-Wallis test with post hoc tests adjusted for multiple comparisons.",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Infants who had at least one RSV LRTI in the first year after birth.  In the second year, they could have had no LRTI, an RSV or another viral LRTI ('RSV Group').",1,0,0,0,0,0,1,0,0,"","The second group I coded for was infants who had at least one LRTI with viruses other than RSV detected from the NPA in the first year and no RSV LRTI in the second year (other viral group)`  - Two comparator groups:  1) Infants who did not have a symptomatic LRTI in the first 2 years  2) Infants who had at least one LRTI with viruses other than RSV detected from nasopharyngeal aspirate in the first year and no RSV LRTI in the second year  ",2,2,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2
"22",3,"Wheeze:  Parents completed a respiratory health-related questionnaire when their infant was 2 years of age regarding whether their infant had cough and/or wheeze in their second year after birth.  ""Wheeze"" was explained to the parents.  - The primary outcome of this study was healthcare utilization and health-related cost of care in the first 2 years after birth in infants who developed an RSV LRTI, another viral LRTI or no LRTI in infancy.  The authors also assessed wheezing and asthma in the second year of life.    ",2,2,1,1,0,0,0,"Baseline factors were compared across the three groups using the Kruskal-Wallis test with post hoc tests adjusted for multiple comparisons.",0,0,0,0,0,0,0,1,"No attempt was made to control for confounders",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Infants who had at least one RSV LRTI in the first year after birth.  In the second year, they could have had no LRTI, an RSV or another viral LRTI ('RSV Group').",1,0,0,0,0,0,1,0,0,"","RSV(-) LRTI but infected with a different virus (""other viral group"")  -Two comparator groups:  1) Infants who did not have a symptomatic LRTI in the first 2 years  2) Infants who had at least one LRTI with viruses other than RSV detected from nasopharyngeal aspirate in the first year and no RSV LRTI in the second year  The second group I coded for was infants who had at least one LRTI with viruses other than RSV detected from the NPA in the first year and no RSV LRTI in the second year (other viral group)",2,2,1,NA,1,1,"Groups were compared using the Kruskal-Wallis test, which just provides an overall p-value (i.e., is there a difference between any of the three groups for the outcome?)  -I hand calculated the OR based on stats given in Table 4    OR 5.14 (95% CI 1.00-26.46)",2,5.14,1,0.84,34,6,7,3,18,"wheezing in the second year (ages 1-2)",3,2
"23",3,"Wheeze:  Parents completed a respiratory health-related questionnaire when their infant was 2 years of age regarding whether their infant had cough and/or wheeze in their second year after birth.  ""Wheeze"" was explained to the parents.  - The primary outcome of this study was healthcare utilization and health-related cost of care in the first 2 years after birth in infants who developed an RSV LRTI, another viral LRTI or no LRTI in infancy.  The authors also assessed wheezing and asthma in the second year of life.    ",2,2,1,1,0,0,0,"Baseline factors were compared across the three groups using the Kruskal-Wallis test with post hoc tests adjusted for multiple comparisons.",0,0,0,0,0,0,0,1,"No attempt was made to control for confounders",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Infants who had at least one RSV LRTI in the first year after birth.  In the second year, they could have had no LRTI, an RSV or another viral LRTI ('RSV Group').",1,0,0,0,0,0,1,0,0,"","RSV(-) LRTI but infected with a different virus (""other viral group"")  -Two comparator groups:  1) Infants who did not have a symptomatic LRTI in the first 2 years  2) Infants who had at least one LRTI with viruses other than RSV detected from nasopharyngeal aspirate in the first year and no RSV LRTI in the second year  The second group I coded for was infants who had at least one LRTI with viruses other than RSV detected from the NPA in the first year and no RSV LRTI in the second year (other viral group)",2,2,1,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,2
"24",3,"Wheeze:  Parents completed a respiratory health-related questionnaire when their infant was 2 years of age regarding whether their infant had cough and/or wheeze in their second year after birth.  ""Wheeze"" was explained to the parents.  - The primary outcome of this study was healthcare utilization and health-related cost of care in the first 2 years after birth in infants who developed an RSV LRTI, another viral LRTI or no LRTI in infancy.  The authors also assessed wheezing and asthma in the second year of life.    ",2,2,1,1,0,0,0,"Baseline factors were compared across the three groups using the Kruskal-Wallis test with post hoc tests adjusted for multiple comparisons.",0,0,0,0,0,0,0,1,"No attempt was made to control for confounders",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Infants who had at least one RSV LRTI in the first year after birth.  In the second year, they could have had no LRTI, an RSV or another viral LRTI ('RSV Group').",1,0,0,0,0,0,1,0,0,"","RSV(-) LRTI but infected with a different virus (""other viral group"")  -Two comparator groups:  1) Infants who did not have a symptomatic LRTI in the first 2 years  2) Infants who had at least one LRTI with viruses other than RSV detected from nasopharyngeal aspirate in the first year and no RSV LRTI in the second year  The second group I coded for was infants who had at least one LRTI with viruses other than RSV detected from the NPA in the first year and no RSV LRTI in the second year (other viral group)",2,2,1,NA,3,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,2
"31",4,"Current asthma was defined as having a doctor's diagnosis of asthma and symptoms of wheezing or asthma and/or the use of anti-asthmatic treatment (beta-agonists or inhaled corticosteroids) during the preceding 12 months.  A doctor's diagnosis was either reported in the questionnaire or confirmed during a test procedure at the clinic.",1,1,1,0,1,0,0,"Multivariate logistic regression was used to assess the association between early and current risk factors and adult asthma.  Adjustments were made for gender, current allergy, active smoking, maternal smoking during pregnancy, family history of asthma, RSV infection at first admission, furry pets at home in infancy, start of wheezing before the age of six months, and intense obstructive disease as a young child.",0,1,1,0,0,0,0,0,"The authors performed multivariate logistic regression.  Additionally, they performed separate logistic regression analyses stratified for gender and current allergic status.",1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,NA,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,"hospitalized for LRTI and RSV-positive ",1,0,0,0,0,2,0,1,0,"","hospitalized for LRTI and no RSV infection",2,2,1,NA,1,1,"Table 2:  OR 1.6 (95% CI 0.4-5.9)    n(%) given in Table 1",1,1.6,1,0.69,79,10,13,20,36,"asthma diagnosis in the past year (ages 25-28)",4,1
