"","record_id","outid","compid","time","es","orcheck","ordiff"
"408",46,1,1,1,30.12,Inf,-Inf
"1147",3,2,2,1,9.35,Inf,-Inf
"1018",114,1,3,1,1.58,0.546283563725845,1.03371643627416
"208",24,1,1,1,0.78,0,0.78
"1615",55,2,1,2,3.5,2.74099423631124,0.75900576368876
"695",78,1,3,1,0.97,0.264150943396226,0.705849056603774
"1019",114,1,1,1,1.27,0.649634508214518,0.620365491785482
"278",31,1,1,1,0.71,0.34965034965035,0.36034965034965
"1023",114,1,2,1,1.39,1.03772785078423,0.352272149215769
"1618",55,2,1,1,2.3,2.60554407130028,-0.305544071300281
"2808",62,3,1,1,0.29,0,0.29
"2116",111,2,1,1,0.13,0.375,-0.245
"31",4,1,1,1,1.6,1.38461538461538,0.215384615384616
"991",111,1,1,1,0.12,0.320987654320988,-0.200987654320988
"963",107,1,1,1,1.07,1.26285714285714,-0.192857142857143
"496",56,1,1,1,0.41,0.232758620689655,0.177241379310345
"1333",24,2,1,1,0.46,0.296296296296296,0.163703703703704
"570",64,1,1,1,0.3,0.180555555555556,0.119444444444444
"696",78,1,2,1,0.15,0.266370699223085,-0.116370699223085
"385",43,1,2,1,0.15,0.261343012704174,-0.111343012704174
"1576",51,2,1,1,0.79,0.685714285714286,0.104285714285714
"131",15,1,1,1,1.43,1.5,-0.0700000000000001
"546",61,1,1,1,0.23,0.188235294117647,0.0417647058823529
"694",78,1,1,1,0.07,0.0912681000438789,-0.0212681000438789
"303",34,1,1,1,0.27,0.256944444444444,0.0130555555555556
"46",6,1,1,1,0.28,0.269230769230769,0.0107692307692308
"451",51,1,1,1,0.48,0.472727272727273,0.00727272727272726
"1030",115,1,1,1,0.37,0.364624505928854,0.00537549407114624
"138",16,1,1,1,0.67,0.665024630541872,0.00497536945812815
"1044",116,1,1,1,0.34,0.344947735191638,-0.0049477351916376
"793",89,1,2,1,0.33,0.334928229665072,-0.00492822966507173
"1497",42,2,1,1,0.51,0.505263157894737,0.00473684210526315
"1075",120,1,3,1,0.45,0.454545454545455,-0.00454545454545452
"1702",65,2,1,1,0.96,0.9644921552436,-0.00449215524360036
"1786",74,2,1,1,1.17,1.17429193899782,-0.00429193899782132
"92",11,1,3,1,0.54,0.535714285714286,0.00428571428571434
"388",44,1,1,1,1.29,1.28571428571429,0.00428571428571423
"1801",76,2,2,1,1.51,1.51421346355075,-0.00421346355075003
"1440",35,2,1,1,1.9,1.89583333333333,0.00416666666666665
"90",10,1,2,3,0.88,0.883928571428572,-0.0039285714285715
"1058",118,1,2,1,1.27,1.27380952380952,-0.00380952380952393
"143",16,1,2,1,0.52,0.516194331983806,0.00380566801619431
"550",62,1,2,1,0.82,0.816326530612245,0.00367346938775504
"1072",120,1,2,1,3.64,3.63636363636364,0.00363636363636388
"1984",96,2,2,1,0.36,0.363636363636364,-0.00363636363636366
"1056",118,1,3,1,0.93,0.926406926406926,0.00359307359307359
"661",74,1,1,1,0.52,0.516441005802708,0.00355899419729211
"859",96,1,2,1,0.67,0.666666666666667,0.00333333333333341
"93",11,1,2,1,0.42,0.416666666666667,0.00333333333333335
"626",70,1,1,1,0.18,0.183333333333333,-0.00333333333333333
"372",42,1,1,1,0.29,0.293333333333333,-0.0033333333333333
"89",10,1,2,1,0.52,0.523261278195489,-0.00326127819548871
"145",17,1,1,1,1.19,1.18686868686869,0.00313131313131287
"1118",125,1,1,1,0.96,0.962962962962963,-0.00296296296296295
"1605",54,2,2,1,0.79,0.787037037037037,0.00296296296296295
"1163",5,2,1,1,0.17,0.172932330827068,-0.00293233082706765
"22",3,1,2,1,5.14,5.14285714285714,-0.00285714285714356
"1051",117,1,1,1,0.48,0.482758620689655,-0.00275862068965521
"315",35,1,1,1,1.14,1.14247311827957,-0.00247311827956986
"1683",62,2,1,1,2.97,2.96774193548387,0.0022580645161292
"2243",125,2,1,1,1.22,1.22222222222222,-0.00222222222222235
"554",62,1,3,1,0.78,0.777777777777778,0.00222222222222224
"507",57,1,1,1,0.22,0.217785843920145,0.00221415607985481
"676",76,1,2,1,1.37,1.37194805851636,-0.00194805851635493
"615",69,1,1,1,0.26,0.261904761904762,-0.00190476190476191
"1077",120,1,1,1,1.82,1.81818181818182,0.00181818181818194
"608",68,1,1,1,0.29,0.291666666666667,-0.00166666666666671
"739",83,1,1,1,1.08,1.07834101382488,0.00165898617511528
"748",84,1,1,1,0.92,0.92156862745098,-0.0015686274509803
"558",62,1,1,1,0.79,0.788461538461538,0.0015384615384616
"1050",117,1,2,1,0.24,0.241379310344828,-0.00137931034482761
"379",43,1,1,1,0.25,0.251231527093596,-0.00123152709359603
"2565",35,3,1,1,0.94,0.941176470588235,-0.00117647058823545
"38",5,1,1,1,0.47,0.471153846153846,-0.00115384615384617
"577",65,1,1,1,1.09,1.0888778550149,0.00112214498510421
"2800",62,3,2,1,1.11,1.11111111111111,-0.00111111111111106
"151",17,1,3,1,1.9,1.8989898989899,0.00101010101010091
"1054",118,1,1,1,1.02,1.01904761904762,0.000952380952380816
"763",85,1,1,1,1.35,1.3491124260355,0.000887573964497124
"466",52,1,2,1,5.77,5.76923076923077,0.000769230769229523
"146",17,1,2,1,0.95,0.94949494949495,0.000505050505050453
"279",31,1,1,2,0.35,0.34965034965035,0.000349650349650343
"1085",121,1,1,1,0.71,0.71033041661225,-0.000330416612250417
"87",10,1,2,2,0.52,0.520307692307692,-0.000307692307692231
"480",54,1,2,1,1.8,1.8,2.22044604925031e-16
"10",2,1,1,1,NA,NA,NA
"13",2,1,1,2,NA,NA,NA
"14",2,1,1,3,NA,NA,NA
"23",3,1,2,2,NA,NA,NA
"24",3,1,2,3,NA,NA,NA
"28",4,1,1,2,NA,NA,NA
"36",4,1,1,3,NA,NA,NA
"43",5,1,1,2,NA,NA,NA
"44",5,1,1,3,NA,NA,NA
"50",6,1,1,2,NA,NA,NA
"51",6,1,1,3,NA,NA,NA
"96",11,1,3,3,NA,NA,NA
"97",11,1,2,2,NA,NA,NA
"98",11,1,2,3,NA,NA,NA
"99",11,1,3,2,NA,NA,NA
"128",15,1,1,2,NA,NA,NA
"129",15,1,1,3,NA,NA,NA
"136",16,1,1,3,NA,NA,NA
"137",16,1,2,3,NA,NA,NA
"139",16,1,1,2,NA,NA,NA
"140",16,1,2,2,NA,NA,NA
"147",17,1,2,2,NA,NA,NA
"148",17,1,2,3,NA,NA,NA
"149",17,1,3,3,NA,NA,NA
"150",17,1,1,3,NA,NA,NA
"152",17,1,3,2,NA,NA,NA
"153",17,1,1,2,NA,NA,NA
"209",24,1,1,2,NA,NA,NA
"212",24,1,2,1,14.4,NA,NA
"213",24,1,2,2,NA,NA,NA
"214",24,1,1,3,NA,NA,NA
"216",24,1,2,3,NA,NA,NA
"217",25,1,1,2,NA,NA,NA
"218",25,1,1,3,NA,NA,NA
"219",25,1,1,1,1.04,NA,NA
"276",31,1,1,3,NA,NA,NA
"298",34,1,1,2,NA,NA,NA
"299",34,1,1,3,NA,NA,NA
"310",35,1,1,2,NA,NA,NA
"314",35,1,1,3,NA,NA,NA
"370",42,1,1,3,NA,NA,NA
"373",42,1,1,2,NA,NA,NA
"380",43,1,1,2,NA,NA,NA
"381",43,1,1,3,NA,NA,NA
"382",43,1,2,2,NA,NA,NA
"383",43,1,2,3,NA,NA,NA
"392",44,1,1,2,NA,NA,NA
"396",44,1,1,3,NA,NA,NA
"410",46,1,1,3,NA,NA,NA
"413",46,1,1,2,NA,NA,NA
"452",51,1,1,2,NA,NA,NA
"457",51,1,1,3,NA,NA,NA
"463",52,1,2,2,NA,NA,NA
"464",52,1,2,3,NA,NA,NA
"478",54,1,2,2,NA,NA,NA
"485",54,1,2,3,NA,NA,NA
"497",56,1,1,2,NA,NA,NA
"498",56,1,1,3,NA,NA,NA
"505",57,1,1,2,NA,NA,NA
"512",57,1,1,3,NA,NA,NA
"533",60,1,1,2,NA,NA,NA
"535",60,1,1,1,1.41,NA,NA
"537",60,1,1,3,NA,NA,NA
"541",61,1,1,2,NA,NA,NA
"542",61,1,1,3,NA,NA,NA
"551",62,1,2,2,NA,NA,NA
"552",62,1,2,3,NA,NA,NA
"553",62,1,1,2,NA,NA,NA
"555",62,1,3,2,NA,NA,NA
"556",62,1,3,3,NA,NA,NA
"557",62,1,1,3,NA,NA,NA
"564",63,1,1,2,NA,NA,NA
"565",63,1,1,3,NA,NA,NA
"566",63,1,1,1,0.3,NA,NA
"571",64,1,1,2,NA,NA,NA
"572",64,1,1,3,NA,NA,NA
"578",65,1,1,2,NA,NA,NA
"579",65,1,1,3,NA,NA,NA
"606",68,1,1,3,NA,NA,NA
"609",68,1,1,2,NA,NA,NA
"613",69,1,1,2,NA,NA,NA
"617",69,1,1,3,NA,NA,NA
"622",70,1,1,3,NA,NA,NA
"623",70,1,1,2,NA,NA,NA
"658",74,1,1,2,NA,NA,NA
"659",74,1,1,3,NA,NA,NA
"677",76,1,2,2,NA,NA,NA
"679",76,1,2,3,NA,NA,NA
"697",78,1,1,2,NA,NA,NA
"698",78,1,1,3,NA,NA,NA
"699",78,1,3,2,NA,NA,NA
"700",78,1,3,3,NA,NA,NA
"701",78,1,2,2,NA,NA,NA
"702",78,1,2,3,NA,NA,NA
"740",83,1,1,3,NA,NA,NA
"742",83,1,1,2,NA,NA,NA
"749",84,1,1,2,NA,NA,NA
